"Invoice Date","Invoice ID","Invoice Type","Sale Mode","Qty Sold","Sold Price"
01/02/2025,250200,Invoice,,0,$0.00
01/02/2025,250201,Invoice,Sale,30,$5.62
01/02/2025,250202,Invoice,Sale,8,$34.99
01/02/2025,250203,Invoice,Sale,2,$5.99
01/02/2025,250203,Invoice,Sale,2,$4.99
01/02/2025,250203,Invoice,Sale,1,$24.99
01/02/2025,250203,Invoice,Sale,1,$13.99
01/02/2025,250203,Invoice,Sale,1,$9.99
01/02/2025,250204,Invoice,Sale,176,$2.99
01/02/2025,250204,Invoice,,0,$0.00
01/02/2025,250205,Invoice,Sale,48,$4.59
01/02/2025,250205,Invoice,,0,$0.00
01/02/2025,250205,Invoice,,0,$0.00
01/02/2025,250206,Invoice,Sale,1,$15.00
01/02/2025,250207,Invoice,Sale,2,$2.59
01/02/2025,250207,Invoice,Sale,1,$3.31
01/02/2025,250207,Invoice,Sale,1,$27.99
01/02/2025,250208,Invoice,Sale,2,$4.55
01/02/2025,250208,Invoice,Sale,1,$4.03
01/02/2025,250208,Invoice,Sale,1.5,$5.00
01/02/2025,250208,Invoice,,0,$0.00
01/02/2025,250208,Invoice,Sale,4,$24.99
01/02/2025,250208,Invoice,Sale,1,$13.69
01/02/2025,250208,Invoice,Sale,4,$3.53
01/02/2025,250208,Invoice,,0,$0.00
01/02/2025,250209,Invoice,Sale,1,$8.89
01/02/2025,250209,Invoice,Sale,5,$3.93
01/02/2025,250209,Invoice,Sale,7,$3.39
01/02/2025,250209,Invoice,Sale,1,$8.89
01/02/2025,250209,Invoice,Sale,1,$4.18
01/02/2025,250209,Invoice,Sale,1,$3.93
01/02/2025,250209,Invoice,Sale,6,$3.88
01/02/2025,250209,Invoice,Sale,1,$13.99
01/02/2025,250209,Invoice,Sale,12,$1.39
01/02/2025,250209,Invoice,Sale,13,$0.99
01/02/2025,250209,Invoice,Sale,7,$0.88
01/02/2025,250209,Invoice,Sale,5,$0.83
01/02/2025,250209,Invoice,Sale,3,$3.17
01/02/2025,250209,Invoice,Sale,1,$0.88
01/02/2025,250209,Invoice,Sale,6,$0.84
01/02/2025,250209,Invoice,Sale,2,$12.08
01/02/2025,250209,Invoice,Sale,12,$0.98
01/02/2025,250210,Invoice,Sale,2,$4.99
01/02/2025,250211,Layaway,Sale,420,$2.39
01/02/2025,250211,Layaway,,0,$0.00
01/02/2025,250213,Invoice,Sale,1,$18.99
01/02/2025,250213,Invoice,Sale,1,$12.99
01/02/2025,250213,Invoice,Sale,10,$0.25
01/02/2025,250213,Invoice,Sale,5,$7.27
01/02/2025,250213,Invoice,Sale,5,$1.87
01/02/2025,250213,Invoice,Sale,5,$15.99
01/02/2025,250213,Invoice,Sale,1,$93.33
01/02/2025,250213,Invoice,Sale,2,$4.99
01/02/2025,250214,Invoice,Sale,1,$5.99
01/02/2025,250212,Invoice,Sale,6,$1.40
01/02/2025,250212,Invoice,Sale,2,$53.99
01/02/2025,250212,Invoice,Sale,2,$4.99
01/02/2025,250212,Invoice,,0,$0.00
01/02/2025,250215,Invoice,Sale,1,$18.99
01/02/2025,250215,Invoice,Sale,1,$11.99
01/02/2025,250215,Invoice,Sale,25,$2.84
01/02/2025,250215,Invoice,Sale,3,$78.00
01/02/2025,250215,Invoice,Sale,1,$78.00
01/02/2025,250215,Invoice,Sale,1,$80.00
01/02/2025,250215,Invoice,Sale,3,$28.99
01/02/2025,250215,Invoice,,0,$0.00
01/02/2025,250215,Invoice,Return,-3,$3.91
01/02/2025,250215,Invoice,Sale,3,$4.99
01/02/2025,250215,Invoice,Sale,2,$78.00
01/02/2025,250215,Invoice,Sale,2,$77.00
01/02/2025,250215,Invoice,Sale,9,$5.39
01/02/2025,250215,Invoice,Sale,12,$3.59
01/02/2025,250215,Invoice,Sale,1,$9.98
01/02/2025,250215,Invoice,,0,$0.00
01/02/2025,250215,Invoice,Sale,1,$5.18
01/02/2025,250215,Invoice,,0,$0.00
01/02/2025,250215,Invoice,Sale,6,$6.29
01/02/2025,250215,Invoice,,0,$0.00
01/02/2025,250216,Invoice,Sale,2,$16.48
01/02/2025,250216,Invoice,Sale,1,$10.99
01/02/2025,250217,Invoice,Sale,3,$10.00
01/02/2025,250217,Invoice,,0,$0.00
01/02/2025,250218,Invoice,Sale,1,$3.19
01/02/2025,250218,Invoice,Sale,1,$1.39
01/02/2025,250218,Invoice,Sale,2,$0.99
01/02/2025,250218,Invoice,Sale,2,$0.48
01/02/2025,250218,Invoice,Sale,1,$1.28
01/02/2025,250218,Invoice,Sale,1,$1.60
01/02/2025,250218,Invoice,Sale,2,$4.39
01/02/2025,250219,Invoice,Sale,3,$1.47
01/02/2025,250219,Invoice,Sale,1,$4.39
01/02/2025,250220,Invoice,Sale,1,$320.00
01/02/2025,250220,Invoice,Sale,1,$179.99
01/02/2025,250220,Invoice,,0,$0.00
01/02/2025,250221,Invoice,Sale,1,$22.99
01/02/2025,250221,Invoice,Sale,1,$18.99
01/02/2025,250221,Invoice,Sale,2,$7.99
01/02/2025,250221,Invoice,,0,$0.00
01/02/2025,250222,Invoice,Sale,1,$11.99
01/02/2025,250222,Invoice,Sale,1,$8.99
01/02/2025,250222,Invoice,Sale,80,$3.53
01/02/2025,250222,Invoice,Sale,20,$2.93
01/02/2025,250222,Invoice,Sale,25,$6.99
01/02/2025,250222,Invoice,Sale,20,$4.99
01/02/2025,250222,Invoice,Sale,20,$13.69
01/02/2025,250223,Invoice,Sale,1,$8.95
01/02/2025,250223,Invoice,,0,$0.00
01/02/2025,250223,Invoice,Sale,1,$0.51
01/02/2025,250223,Invoice,Sale,2,$4.19
01/02/2025,250223,Invoice,Sale,1,$3.89
01/02/2025,250223,Invoice,Sale,1,$28.60
01/02/2025,250223,Invoice,Sale,3,$3.59
01/02/2025,250223,Invoice,Sale,32,$3.19
01/02/2025,250223,Invoice,,0,$0.00
01/02/2025,250223,Invoice,,0,$0.00
01/02/2025,250224,Invoice,Sale,1,$1.97
01/02/2025,250224,Invoice,Sale,1,$2.59
01/02/2025,250224,Invoice,Sale,1,$2.78
01/02/2025,250224,Invoice,Sale,1,$7.99
01/02/2025,250224,Invoice,Sale,1,$13.69
01/02/2025,250224,Invoice,Return,-2,$31.99
01/02/2025,250224,Invoice,Return,-32,$3.99
01/02/2025,250225,Invoice,Sale,1,$49.99
01/02/2025,250226,Invoice,Sale,1,$20.38
01/02/2025,250227,Layaway,,0,$0.00
01/02/2025,250227,Layaway,,0,$0.00
01/02/2025,250228,Invoice,Sale,9,$13.69
01/02/2025,250228,Invoice,Sale,4,$5.99
01/02/2025,250228,Invoice,Sale,14,$2.93
01/02/2025,250228,Invoice,Sale,1,$28.60
01/02/2025,250229,Invoice,Return,-2,$25.99
01/02/2025,250229,Invoice,Sale,1,$53.99
01/02/2025,250230,Invoice,Sale,1,$6.49
01/02/2025,250230,Invoice,Sale,1,$4.99
01/02/2025,250230,Invoice,Sale,1,$4.47
01/02/2025,250230,Invoice,Sale,1,$60.99
01/02/2025,250230,Invoice,,0,$0.00
01/02/2025,250231,Invoice,Sale,11,$6.74
01/02/2025,250231,Invoice,Sale,1,$60.00
01/02/2025,250231,Invoice,,0,$0.00
01/02/2025,250231,Invoice,,0,$0.00
01/02/2025,250232,Invoice,Return,-1,$297.00
01/02/2025,250232,Invoice,Sale,1,$6.69
01/02/2025,250232,Invoice,Sale,1,$8.99
01/02/2025,250232,Invoice,Sale,1,$8.89
01/02/2025,250232,Invoice,Sale,1,$16.99
01/02/2025,250232,Invoice,Sale,1,$4.39
01/02/2025,250232,Invoice,Sale,1,$1.79
01/02/2025,250232,Invoice,Sale,1,$1.79
01/02/2025,250232,Invoice,Sale,2,$0.99
01/02/2025,250232,Invoice,Sale,1,$15.99
01/02/2025,250232,Invoice,Sale,1,$14.99
